"skill_name","id","title","location","yearly_salary","type","company_name"
"aws",552322,"Data Analyst","Anywhere","255829.5","Full-time","AT&T"
"azure",552322,"Data Analyst","Anywhere","255829.5","Full-time","AT&T"
"databricks",552322,"Data Analyst","Anywhere","255829.5","Full-time","AT&T"
"excel",552322,"Data Analyst","Anywhere","255829.5","Full-time","AT&T"
"jupyter",552322,"Data Analyst","Anywhere","255829.5","Full-time","AT&T"
"pandas",552322,"Data Analyst","Anywhere","255829.5","Full-time","AT&T"
"power bi",552322,"Data Analyst","Anywhere","255829.5","Full-time","AT&T"
"powerpoint",552322,"Data Analyst","Anywhere","255829.5","Full-time","AT&T"
"pyspark",552322,"Data Analyst","Anywhere","255829.5","Full-time","AT&T"
"python",552322,"Data Analyst","Anywhere","255829.5","Full-time","AT&T"
"r",552322,"Data Analyst","Anywhere","255829.5","Full-time","AT&T"
"sql",552322,"Data Analyst","Anywhere","255829.5","Full-time","AT&T"
"tableau",552322,"Data Analyst","Anywhere","255829.5","Full-time","AT&T"
"hadoop",99305,"Data Analyst","Anywhere","232423.0","Full-time","Pinterest Job Advertisements"
"python",99305,"Data Analyst","Anywhere","232423.0","Full-time","Pinterest Job Advertisements"
"r",99305,"Data Analyst","Anywhere","232423.0","Full-time","Pinterest Job Advertisements"
"sql",99305,"Data Analyst","Anywhere","232423.0","Full-time","Pinterest Job Advertisements"
"tableau",99305,"Data Analyst","Anywhere","232423.0","Full-time","Pinterest Job Advertisements"
"crystal",1021647,"Data Analyst","Anywhere","217000.0","Full-time","Uclahealthcareers"
"flow",1021647,"Data Analyst","Anywhere","217000.0","Full-time","Uclahealthcareers"
"oracle",1021647,"Data Analyst","Anywhere","217000.0","Full-time","Uclahealthcareers"
"sql",1021647,"Data Analyst","Anywhere","217000.0","Full-time","Uclahealthcareers"
"tableau",1021647,"Data Analyst","Anywhere","217000.0","Full-time","Uclahealthcareers"
"excel",168310,"Data Analyst","Anywhere","205000.0","Full-time","SmartAsset"
"gitlab",168310,"Data Analyst","Anywhere","205000.0","Full-time","SmartAsset"
"go",168310,"Data Analyst","Anywhere","205000.0","Full-time","SmartAsset"
"numpy",168310,"Data Analyst","Anywhere","205000.0","Full-time","SmartAsset"
"pandas",168310,"Data Analyst","Anywhere","205000.0","Full-time","SmartAsset"
"python",168310,"Data Analyst","Anywhere","205000.0","Full-time","SmartAsset"
"snowflake",168310,"Data Analyst","Anywhere","205000.0","Full-time","SmartAsset"
"sql",168310,"Data Analyst","Anywhere","205000.0","Full-time","SmartAsset"
"tableau",168310,"Data Analyst","Anywhere","205000.0","Full-time","SmartAsset"
"atlassian",731368,"Data Analyst","Anywhere","189309.0","Full-time","Inclusively"
"aws",731368,"Data Analyst","Anywhere","189309.0","Full-time","Inclusively"
"azure",731368,"Data Analyst","Anywhere","189309.0","Full-time","Inclusively"
"bitbucket",731368,"Data Analyst","Anywhere","189309.0","Full-time","Inclusively"
"confluence",731368,"Data Analyst","Anywhere","189309.0","Full-time","Inclusively"
"jenkins",731368,"Data Analyst","Anywhere","189309.0","Full-time","Inclusively"
"jira",731368,"Data Analyst","Anywhere","189309.0","Full-time","Inclusively"
"oracle",731368,"Data Analyst","Anywhere","189309.0","Full-time","Inclusively"
"power bi",731368,"Data Analyst","Anywhere","189309.0","Full-time","Inclusively"
"python",731368,"Data Analyst","Anywhere","189309.0","Full-time","Inclusively"
"sap",731368,"Data Analyst","Anywhere","189309.0","Full-time","Inclusively"
"snowflake",731368,"Data Analyst","Anywhere","189309.0","Full-time","Inclusively"
"sql",731368,"Data Analyst","Anywhere","189309.0","Full-time","Inclusively"
"tableau",731368,"Data Analyst","Anywhere","189309.0","Full-time","Inclusively"
"atlassian",310660,"Data Analyst","Anywhere","189000.0","Full-time","Motional"
"bitbucket",310660,"Data Analyst","Anywhere","189000.0","Full-time","Motional"
"confluence",310660,"Data Analyst","Anywhere","189000.0","Full-time","Motional"
"git",310660,"Data Analyst","Anywhere","189000.0","Full-time","Motional"
"jira",310660,"Data Analyst","Anywhere","189000.0","Full-time","Motional"
"python",310660,"Data Analyst","Anywhere","189000.0","Full-time","Motional"
"r",310660,"Data Analyst","Anywhere","189000.0","Full-time","Motional"
"sql",310660,"Data Analyst","Anywhere","189000.0","Full-time","Motional"
"excel",1749593,"Data Analyst","Anywhere","186000.0","Full-time","SmartAsset"
"gitlab",1749593,"Data Analyst","Anywhere","186000.0","Full-time","SmartAsset"
"go",1749593,"Data Analyst","Anywhere","186000.0","Full-time","SmartAsset"
"numpy",1749593,"Data Analyst","Anywhere","186000.0","Full-time","SmartAsset"
"pandas",1749593,"Data Analyst","Anywhere","186000.0","Full-time","SmartAsset"
"python",1749593,"Data Analyst","Anywhere","186000.0","Full-time","SmartAsset"
"snowflake",1749593,"Data Analyst","Anywhere","186000.0","Full-time","SmartAsset"
"sql",1749593,"Data Analyst","Anywhere","186000.0","Full-time","SmartAsset"
"tableau",1749593,"Data Analyst","Anywhere","186000.0","Full-time","SmartAsset"
"python",387860,"Data Analyst","Anywhere","184000.0","Full-time","Get It Recruit - Information Technology"
"r",387860,"Data Analyst","Anywhere","184000.0","Full-time","Get It Recruit - Information Technology"
"sql",387860,"Data Analyst","Anywhere","184000.0","Full-time","Get It Recruit - Information Technology"
