"name","title","role","location","date","salary"
"Mantys","Data Analyst","Data Analyst","Anywhere","2023-02-20","650000.0"
"Meta","Data Analyst","Director of Analytics","Anywhere","2023-08-23","336500.0"
"AT&T","Data Analyst","Associate Director- Data Insights","Anywhere","2023-06-18","255829.5"
"Pinterest Job Advertisements","Data Analyst","Data Analyst, Marketing","Anywhere","2023-12-05","232423.0"
"Uclahealthcareers","Data Analyst","Data Analyst (Hybrid/Remote)","Anywhere","2023-01-17","217000.0"
"SmartAsset","Data Analyst","Principal Data Analyst (Remote)","Anywhere","2023-08-09","205000.0"
"Inclusively","Data Analyst","Director, Data Analyst - HYBRID","Anywhere","2023-12-07","189309.0"
"Motional","Data Analyst","Principal Data Analyst, AV Performance Analysis","Anywhere","2023-01-05","189000.0"
"SmartAsset","Data Analyst","Principal Data Analyst","Anywhere","2023-07-11","186000.0"
"Get It Recruit - Information Technology","Data Analyst","ERM Data Analyst","Anywhere","2023-06-09","184000.0"
